Date,Result
22/03/2026,Augsburg 2 - 5 Stuttgart
22/03/2026,St Pauli 1 - 2 Freiburg
22/03/2026,Mainz 2 - 1 Eintracht Frankfurt
21/03/2026,Borussia Dortmund 3 - 2 Hamburger SV
21/03/2026,Heidenheim 3 - 3 Bayer Leverkusen
21/03/2026,Bayern Munich 4 - 0 Union Berlin
21/03/2026,Wolfsburg 0 - 1 Werder Bremen
21/03/2026,Köln 3 - 3 Borussia M'gladbach
20/03/2026,RB Leipzig 5 - 0 Hoffenheim
15/03/2026,Stuttgart 1 - 0 RB Leipzig
15/03/2026,Freiburg 0 - 1 Union Berlin
15/03/2026,Werder Bremen 0 - 2 Mainz
14/03/2026,Hamburger SV 1 - 1 Köln
14/03/2026,Borussia Dortmund 2 - 0 Augsburg
14/03/2026,Bayer Leverkusen 1 - 1 Bayern Munich
14/03/2026,Eintracht Frankfurt 1 - 0 Heidenheim
14/03/2026,Hoffenheim 1 - 1 Wolfsburg
13/03/2026,Borussia M'gladbach 2 - 0 St Pauli
08/03/2026,Union Berlin 1 - 4 Werder Bremen
08/03/2026,St Pauli 0 - 0 Eintracht Frankfurt
07/03/2026,Köln 1 - 2 Borussia Dortmund
07/03/2026,Freiburg 3 - 3 Bayer Leverkusen
07/03/2026,Heidenheim 2 - 4 Hoffenheim
07/03/2026,Wolfsburg 1 - 2 Hamburger SV
07/03/2026,RB Leipzig 2 - 1 Augsburg
07/03/2026,Mainz 2 - 2 Stuttgart
06/03/2026,Bayern Munich 4 - 1 Borussia M'gladbach
04/03/2026,Hamburger SV 0 - 1 Bayer Leverkusen
01/03/2026,Hamburger SV 1 - 2 RB Leipzig
01/03/2026,Eintracht Frankfurt 2 - 0 Freiburg
01/03/2026,Stuttgart 4 - 0 Wolfsburg
28/02/2026,Borussia Dortmund 2 - 3 Bayern Munich
28/02/2026,Hoffenheim 0 - 1 St Pauli
28/02/2026,Bayer Leverkusen 1 - 1 Mainz
28/02/2026,Borussia M'gladbach 1 - 0 Union Berlin
28/02/2026,Werder Bremen 2 - 0 Heidenheim
27/02/2026,Augsburg 2 - 0 Köln
22/02/2026,Heidenheim 3 - 3 Stuttgart
22/02/2026,St Pauli 2 - 1 Werder Bremen
22/02/2026,Freiburg 2 - 1 Borussia M'gladbach
21/02/2026,RB Leipzig 2 - 2 Borussia Dortmund
21/02/2026,Bayern Munich 3 - 2 Eintracht Frankfurt
21/02/2026,Köln 2 - 2 Hoffenheim
21/02/2026,Wolfsburg 2 - 3 Augsburg
21/02/2026,Union Berlin 1 - 0 Bayer Leverkusen
20/02/2026,Mainz 1 - 1 Hamburger SV
15/02/2026,RB Leipzig 2 - 2 Wolfsburg
15/02/2026,Augsburg 1 - 0 Heidenheim
14/02/2026,Stuttgart 3 - 1 Köln
14/02/2026,Eintracht Frankfurt 3 - 0 Borussia M'gladbach
14/02/2026,Bayer Leverkusen 4 - 0 St Pauli
14/02/2026,Hamburger SV 3 - 2 Union Berlin
14/02/2026,Hoffenheim 3 - 0 Freiburg
14/02/2026,Werder Bremen 0 - 3 Bayern Munich
13/02/2026,Borussia Dortmund 4 - 0 Mainz
08/02/2026,Bayern Munich 5 - 1 Hoffenheim
08/02/2026,Köln 1 - 2 RB Leipzig
07/02/2026,Borussia M'gladbach 1 - 1 Bayer Leverkusen
07/02/2026,St Pauli 2 - 1 Stuttgart
07/02/2026,Heidenheim 0 - 2 Hamburger SV
07/02/2026,Mainz 2 - 0 Augsburg
07/02/2026,Wolfsburg 1 - 2 Borussia Dortmund
07/02/2026,Freiburg 1 - 0 Werder Bremen
06/02/2026,Union Berlin 1 - 1 Eintracht Frankfurt
01/02/2026,Borussia Dortmund 3 - 2 Heidenheim
01/02/2026,Stuttgart 1 - 0 Freiburg
31/01/2026,Hamburger SV 2 - 2 Bayern Munich
31/01/2026,Eintracht Frankfurt 1 - 3 Bayer Leverkusen
31/01/2026,Werder Bremen 1 - 1 Borussia M'gladbach
31/01/2026,RB Leipzig 1 - 2 Mainz
31/01/2026,Hoffenheim 3 - 1 Union Berlin
31/01/2026,Augsburg 2 - 1 St Pauli
30/01/2026,Köln 1 - 0 Wolfsburg
27/01/2026,St Pauli 1 - 1 RB Leipzig
27/01/2026,Werder Bremen 0 - 2 Hoffenheim
25/01/2026,Freiburg 2 - 1 Köln
25/01/2026,Borussia M'gladbach 0 - 3 Stuttgart
24/01/2026,Union Berlin 0 - 3 Borussia Dortmund
24/01/2026,Bayer Leverkusen 1 - 0 Werder Bremen
24/01/2026,Mainz 3 - 1 Wolfsburg
24/01/2026,Bayern Munich 1 - 2 Augsburg
24/01/2026,Heidenheim 0 - 3 RB Leipzig
24/01/2026,Eintracht Frankfurt 1 - 3 Hoffenheim
23/01/2026,St Pauli 0 - 0 Hamburger SV
18/01/2026,Augsburg 2 - 2 Freiburg
18/01/2026,Stuttgart 1 - 1 Union Berlin
17/01/2026,RB Leipzig 1 - 5 Bayern Munich
17/01/2026,Wolfsburg 1 - 1 Heidenheim
17/01/2026,Hamburger SV 0 - 0 Borussia M'gladbach
17/01/2026,Borussia Dortmund 3 - 2 St Pauli
17/01/2026,Hoffenheim 1 - 0 Bayer Leverkusen
17/01/2026,Köln 2 - 1 Mainz
16/01/2026,Werder Bremen 3 - 3 Eintracht Frankfurt
15/01/2026,Augsburg 1 - 1 Union Berlin
14/01/2026,RB Leipzig 2 - 0 Freiburg
14/01/2026,Hoffenheim 5 - 1 Borussia M'gladbach
14/01/2026,Köln 1 - 3 Bayern Munich
14/01/2026,Wolfsburg 2 - 1 St Pauli
13/01/2026,Mainz 2 - 1 Heidenheim
13/01/2026,Borussia Dortmund 3 - 0 Werder Bremen
13/01/2026,Stuttgart 3 - 2 Eintracht Frankfurt
11/01/2026,Bayern Munich 8 - 1 Wolfsburg
11/01/2026,Borussia M'gladbach 4 - 0 Augsburg
10/01/2026,Bayer Leverkusen 1 - 4 Stuttgart
10/01/2026,Freiburg 2 - 1 Hamburger SV
10/01/2026,Union Berlin 2 - 2 Mainz
10/01/2026,Heidenheim 2 - 2 Köln
09/01/2026,Eintracht Frankfurt 3 - 3 Borussia Dortmund
21/12/2025,Heidenheim 0 - 4 Bayern Munich
21/12/2025,Mainz 0 - 0 St Pauli
20/12/2025,RB Leipzig 1 - 3 Bayer Leverkusen
20/12/2025,Köln 0 - 1 Union Berlin
20/12/2025,Stuttgart 0 - 0 Hoffenheim
20/12/2025,Wolfsburg 3 - 4 Freiburg
20/12/2025,Hamburger SV 1 - 1 Eintracht Frankfurt
20/12/2025,Augsburg 0 - 0 Werder Bremen
19/12/2025,Borussia Dortmund 2 - 0 Borussia M'gladbach
14/12/2025,Werder Bremen 0 - 4 Stuttgart
14/12/2025,Bayern Munich 2 - 2 Mainz
14/12/2025,Freiburg 1 - 1 Borussia Dortmund
13/12/2025,Bayer Leverkusen 2 - 0 Köln
13/12/2025,St Pauli 2 - 1 Heidenheim
13/12/2025,Hoffenheim 4 - 1 Hamburger SV
13/12/2025,Eintracht Frankfurt 1 - 0 Augsburg
13/12/2025,Borussia M'gladbach 1 - 3 Wolfsburg
12/12/2025,Union Berlin 3 - 1 RB Leipzig
07/12/2025,Borussia Dortmund 2 - 0 Hoffenheim
07/12/2025,Hamburger SV 3 - 2 Werder Bremen
06/12/2025,RB Leipzig 6 - 0 Eintracht Frankfurt
06/12/2025,Augsburg 2 - 0 Bayer Leverkusen
06/12/2025,Stuttgart 0 - 5 Bayern Munich
06/12/2025,Wolfsburg 3 - 1 Union Berlin
06/12/2025,Köln 1 - 1 St Pauli
06/12/2025,Heidenheim 2 - 1 Freiburg
05/12/2025,Mainz 0 - 1 Borussia M'gladbach
30/11/2025,Freiburg 4 - 0 Mainz
30/11/2025,Eintracht Frankfurt 1 - 1 Wolfsburg
30/11/2025,Hamburger SV 2 - 1 Stuttgart
29/11/2025,Bayer Leverkusen 1 - 2 Borussia Dortmund
29/11/2025,Bayern Munich 3 - 1 St Pauli
29/11/2025,Union Berlin 1 - 2 Heidenheim
29/11/2025,Werder Bremen 1 - 1 Köln
29/11/2025,Hoffenheim 3 - 0 Augsburg
28/11/2025,Borussia M'gladbach 0 - 0 RB Leipzig
23/11/2025,St Pauli 0 - 1 Union Berlin
23/11/2025,RB Leipzig 2 - 0 Werder Bremen
22/11/2025,Köln 3 - 4 Eintracht Frankfurt
22/11/2025,Bayern Munich 6 - 2 Freiburg
22/11/2025,Wolfsburg 1 - 3 Bayer Leverkusen
22/11/2025,Borussia Dortmund 3 - 3 Stuttgart
22/11/2025,Augsburg 1 - 0 Hamburger SV
22/11/2025,Heidenheim 0 - 3 Borussia M'gladbach
21/11/2025,Mainz 1 - 1 Hoffenheim
09/11/2025,Eintracht Frankfurt 1 - 0 Mainz
09/11/2025,Stuttgart 3 - 2 Augsburg
09/11/2025,Freiburg 2 - 1 St Pauli
08/11/2025,Borussia M'gladbach 3 - 1 Köln
08/11/2025,Hoffenheim 3 - 1 RB Leipzig
08/11/2025,Bayer Leverkusen 6 - 0 Heidenheim
08/11/2025,Union Berlin 2 - 2 Bayern Munich
08/11/2025,Hamburger SV 1 - 1 Borussia Dortmund
07/11/2025,Werder Bremen 2 - 1 Wolfsburg
02/11/2025,Wolfsburg 2 - 3 Hoffenheim
02/11/2025,Köln 4 - 1 Hamburger SV
01/11/2025,Bayern Munich 3 - 0 Bayer Leverkusen
01/11/2025,Heidenheim 1 - 1 Eintracht Frankfurt
01/11/2025,Mainz 1 - 1 Werder Bremen
01/11/2025,RB Leipzig 3 - 1 Stuttgart
01/11/2025,Union Berlin 0 - 0 Freiburg
01/11/2025,St Pauli 0 - 4 Borussia M'gladbach
31/10/2025,Augsburg 0 - 1 Borussia Dortmund
26/10/2025,Stuttgart 2 - 1 Mainz
26/10/2025,Bayer Leverkusen 2 - 0 Freiburg
25/10/2025,Borussia Dortmund 1 - 0 Köln
25/10/2025,Hoffenheim 3 - 1 Heidenheim
25/10/2025,Eintracht Frankfurt 2 - 0 St Pauli
25/10/2025,Augsburg 0 - 6 RB Leipzig
25/10/2025,Borussia M'gladbach 0 - 3 Bayern Munich
25/10/2025,Hamburger SV 0 - 1 Wolfsburg
24/10/2025,Werder Bremen 1 - 0 Union Berlin
19/10/2025,St Pauli 0 - 3 Hoffenheim
19/10/2025,Freiburg 2 - 2 Eintracht Frankfurt
18/10/2025,Bayern Munich 2 - 1 Borussia Dortmund
18/10/2025,Mainz 3 - 4 Bayer Leverkusen
18/10/2025,Heidenheim 2 - 2 Werder Bremen
18/10/2025,Köln 1 - 1 Augsburg
18/10/2025,Wolfsburg 0 - 3 Stuttgart
18/10/2025,RB Leipzig 2 - 1 Hamburger SV
17/10/2025,Union Berlin 3 - 1 Borussia M'gladbach
05/10/2025,Borussia M'gladbach 0 - 0 Freiburg
05/10/2025,Hamburger SV 4 - 0 Mainz
05/10/2025,Stuttgart 1 - 0 Heidenheim
04/10/2025,Eintracht Frankfurt 0 - 3 Bayern Munich
04/10/2025,Bayer Leverkusen 2 - 0 Union Berlin
04/10/2025,Werder Bremen 1 - 0 St Pauli
04/10/2025,Augsburg 3 - 1 Wolfsburg
04/10/2025,Borussia Dortmund 1 - 1 RB Leipzig
03/10/2025,Hoffenheim 0 - 1 Köln
28/09/2025,Union Berlin 0 - 0 Hamburger SV
28/09/2025,Köln 1 - 2 Stuttgart
28/09/2025,Freiburg 1 - 1 Hoffenheim
27/09/2025,Borussia M'gladbach 4 - 6 Eintracht Frankfurt
27/09/2025,St Pauli 1 - 2 Bayer Leverkusen
27/09/2025,Wolfsburg 0 - 1 RB Leipzig
27/09/2025,Heidenheim 2 - 1 Augsburg
27/09/2025,Mainz 0 - 2 Borussia Dortmund
26/09/2025,Bayern Munich 4 - 0 Werder Bremen
21/09/2025,Borussia Dortmund 1 - 0 Wolfsburg
21/09/2025,Bayer Leverkusen 1 - 1 Borussia M'gladbach
21/09/2025,Eintracht Frankfurt 3 - 4 Union Berlin
20/09/2025,RB Leipzig 3 - 1 Köln
20/09/2025,Augsburg 1 - 4 Mainz
20/09/2025,Hoffenheim 1 - 4 Bayern Munich
20/09/2025,Werder Bremen 0 - 3 Freiburg
20/09/2025,Hamburger SV 2 - 1 Heidenheim
19/09/2025,Stuttgart 2 - 0 St Pauli
14/09/2025,Borussia M'gladbach 0 - 4 Werder Bremen
14/09/2025,St Pauli 2 - 1 Augsburg
13/09/2025,Bayern Munich 5 - 0 Hamburger SV
13/09/2025,Union Berlin 2 - 4 Hoffenheim
13/09/2025,Freiburg 3 - 1 Stuttgart
13/09/2025,Wolfsburg 3 - 3 Köln
13/09/2025,Heidenheim 0 - 2 Borussia Dortmund
13/09/2025,Mainz 0 - 1 RB Leipzig
