Position,Team,TeamId,Played,Wins,Draws,Losses,GoalsFor,GoalsAgainst,GoalDifference,Points,LogoUrl
1,Arsenal,9825,31,21,7,3,61,22,39,70,https://images.fotmob.com/image_resources/logo/teamlogo/9825.png
2,Manchester City,8456,30,18,7,5,60,28,32,61,https://images.fotmob.com/image_resources/logo/teamlogo/8456.png
3,Manchester United,10260,31,15,10,6,56,43,13,55,https://images.fotmob.com/image_resources/logo/teamlogo/10260.png
4,Aston Villa,10252,31,16,6,9,42,37,5,54,https://images.fotmob.com/image_resources/logo/teamlogo/10252.png
5,Liverpool,8650,31,14,7,10,50,42,8,49,https://images.fotmob.com/image_resources/logo/teamlogo/8650.png
6,Chelsea,8455,31,13,9,9,53,38,15,48,https://images.fotmob.com/image_resources/logo/teamlogo/8455.png
7,Brentford,9937,31,13,7,11,46,42,4,46,https://images.fotmob.com/image_resources/logo/teamlogo/9937.png
8,Everton,8668,31,13,7,11,37,35,2,46,https://images.fotmob.com/image_resources/logo/teamlogo/8668.png
9,Fulham,9879,31,13,5,13,43,44,-1,44,https://images.fotmob.com/image_resources/logo/teamlogo/9879.png
10,Brighton & Hove Albion,10204,31,11,10,10,41,37,4,43,https://images.fotmob.com/image_resources/logo/teamlogo/10204.png
11,Sunderland,8472,31,11,10,10,32,36,-4,43,https://images.fotmob.com/image_resources/logo/teamlogo/8472.png
12,Newcastle United,10261,31,12,6,13,44,45,-1,42,https://images.fotmob.com/image_resources/logo/teamlogo/10261.png
13,AFC Bournemouth,8678,31,9,15,7,46,48,-2,42,https://images.fotmob.com/image_resources/logo/teamlogo/8678.png
14,Crystal Palace,9826,30,10,9,11,33,35,-2,39,https://images.fotmob.com/image_resources/logo/teamlogo/9826.png
15,Leeds United,8463,31,7,12,12,37,48,-11,33,https://images.fotmob.com/image_resources/logo/teamlogo/8463.png
16,Nottingham Forest,10203,31,8,8,15,31,43,-12,32,https://images.fotmob.com/image_resources/logo/teamlogo/10203.png
17,Tottenham Hotspur,8586,31,7,9,15,40,50,-10,30,https://images.fotmob.com/image_resources/logo/teamlogo/8586.png
18,West Ham United,8654,31,7,8,16,36,57,-21,29,https://images.fotmob.com/image_resources/logo/teamlogo/8654.png
19,Burnley,8191,31,4,8,19,33,61,-28,20,https://images.fotmob.com/image_resources/logo/teamlogo/8191.png
20,Wolverhampton Wanderers,8602,31,3,8,20,24,54,-30,17,https://images.fotmob.com/image_resources/logo/teamlogo/8602.png
