Date,Result
22/03/2026,Groningen 3 - 0 AZ Alkmaar
22/03/2026,SC Telstar 3 - 1 PSV Eindhoven
22/03/2026,Utrecht 2 - 0 Go Ahead Eagles
22/03/2026,Feyenoord 1 - 1 Ajax
22/03/2026,Nijmegen 2 - 2 Heerenveen
21/03/2026,PEC Zwolle 2 - 1 NAC Breda
21/03/2026,Sparta Rotterdam 2 - 0 Volendam
21/03/2026,Fortuna Sittard 1 - 2 Twente
20/03/2026,Heracles 1 - 1 Excelsior
15/03/2026,Go Ahead Eagles 6 - 0 NAC Breda
15/03/2026,AZ Alkmaar 4 - 0 Heracles
15/03/2026,Feyenoord 2 - 1 Excelsior
15/03/2026,Twente 0 - 2 Utrecht
14/03/2026,Ajax 4 - 0 Sparta Rotterdam
14/03/2026,Heerenveen 3 - 0 SC Telstar
14/03/2026,PSV Eindhoven 2 - 3 Nijmegen
14/03/2026,Volendam 1 - 2 Fortuna Sittard
13/03/2026,PEC Zwolle 1 - 1 Groningen
08/03/2026,Nijmegen 3 - 0 Volendam
08/03/2026,NAC Breda 3 - 3 Feyenoord
08/03/2026,Go Ahead Eagles 1 - 4 Twente
08/03/2026,Fortuna Sittard 1 - 4 SC Telstar
08/03/2026,Sparta Rotterdam 1 - 1 PEC Zwolle
07/03/2026,Excelsior 1 - 2 Heerenveen
07/03/2026,PSV Eindhoven 2 - 1 AZ Alkmaar
07/03/2026,Groningen 3 - 1 Ajax
06/03/2026,Heracles 0 - 0 Utrecht
01/03/2026,Excelsior 0 - 1 Go Ahead Eagles
01/03/2026,Utrecht 2 - 0 AZ Alkmaar
01/03/2026,Volendam 3 - 2 Groningen
01/03/2026,Twente 2 - 0 Feyenoord
01/03/2026,PEC Zwolle 0 - 0 Ajax
28/02/2026,Nijmegen 2 - 3 Fortuna Sittard
28/02/2026,Heracles 1 - 3 PSV Eindhoven
28/02/2026,Heerenveen 2 - 1 Sparta Rotterdam
27/02/2026,SC Telstar 3 - 0 NAC Breda
