Position,Team,TeamId,Played,Wins,Draws,Losses,GoalsFor,GoalsAgainst,GoalDifference,Points,LogoUrl
1,PSV Eindhoven,8640,28,22,2,4,78,37,41,68,https://images.fotmob.com/image_resources/logo/teamlogo/8640.png
2,Feyenoord,10235,28,16,5,7,61,40,21,53,https://images.fotmob.com/image_resources/logo/teamlogo/10235.png
3,NEC Nijmegen,8464,28,14,8,6,69,47,22,50,https://images.fotmob.com/image_resources/logo/teamlogo/8464.png
4,Ajax,8593,28,12,12,4,53,35,18,48,https://images.fotmob.com/image_resources/logo/teamlogo/8593.png
5,FC Twente,8611,28,12,11,5,47,30,17,47,https://images.fotmob.com/image_resources/logo/teamlogo/8611.png
6,AZ Alkmaar,10229,28,12,6,10,47,45,2,42,https://images.fotmob.com/image_resources/logo/teamlogo/10229.png
7,FC Utrecht,9908,28,11,8,9,42,31,11,41,https://images.fotmob.com/image_resources/logo/teamlogo/9908.png
8,SC Heerenveen,10228,28,11,8,9,49,46,3,41,https://images.fotmob.com/image_resources/logo/teamlogo/10228.png
9,Sparta Rotterdam,8614,28,12,5,11,35,47,-12,41,https://images.fotmob.com/image_resources/logo/teamlogo/8614.png
10,FC Groningen,8674,28,11,5,12,40,37,3,38,https://images.fotmob.com/image_resources/logo/teamlogo/8674.png
11,Fortuna Sittard,6422,28,10,5,13,43,52,-9,35,https://images.fotmob.com/image_resources/logo/teamlogo/6422.png
12,PEC Zwolle,6413,28,8,9,11,38,53,-15,33,https://images.fotmob.com/image_resources/logo/teamlogo/6413.png
13,Go Ahead Eagles,6433,28,7,11,10,45,45,,32,https://images.fotmob.com/image_resources/logo/teamlogo/6433.png
14,Telstar,6414,28,6,9,13,38,46,-8,27,https://images.fotmob.com/image_resources/logo/teamlogo/6414.png
15,FC Volendam,6601,28,7,6,15,30,48,-18,27,https://images.fotmob.com/image_resources/logo/teamlogo/6601.png
16,Excelsior,10218,28,7,6,15,29,47,-18,27,https://images.fotmob.com/image_resources/logo/teamlogo/10218.png
17,NAC Breda,9761,28,5,8,15,29,50,-21,23,https://images.fotmob.com/image_resources/logo/teamlogo/9761.png
18,Heracles,9791,28,5,4,19,33,70,-37,19,https://images.fotmob.com/image_resources/logo/teamlogo/9791.png
