Competition,Country,Code,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Source
Belgian Pro League,Belgium,B1,25/07/2025,19:45,Antwerp,St. Gilloise,1,1,D,football-data
Belgian Pro League,Belgium,B1,26/07/2025,15:00,Dender,Cercle Brugge,0,0,D,football-data
Belgian Pro League,Belgium,B1,26/07/2025,17:15,Waregem,Mechelen,1,1,D,football-data
Belgian Pro League,Belgium,B1,26/07/2025,19:45,RAAL La Louviere,Standard,0,2,A,football-data
Belgian Pro League,Belgium,B1,27/07/2025,12:30,Anderlecht,Westerlo,5,2,H,football-data
Belgian Pro League,Belgium,B1,27/07/2025,15:00,Oud-Heverlee Leuven,Charleroi,2,2,D,football-data
Belgian Pro League,Belgium,B1,27/07/2025,17:30,Club Brugge,Genk,2,1,H,football-data
Belgian Pro League,Belgium,B1,27/07/2025,18:15,St Truiden,Gent,3,1,H,football-data
Belgian Pro League,Belgium,B1,01/08/2025,19:45,Mechelen,Club Brugge,2,1,H,football-data
Belgian Pro League,Belgium,B1,02/08/2025,15:00,Westerlo,Waregem,3,1,H,football-data
Scottish Premiership,Scotland,SC0,02/08/2025,15:00,Kilmarnock,Livingston,2,2,D,football-data
Belgian Pro League,Belgium,B1,02/08/2025,17:15,Standard,Dender,1,1,D,football-data
Scottish Premiership,Scotland,SC0,02/08/2025,17:30,Motherwell,Rangers,1,1,D,football-data
Belgian Pro League,Belgium,B1,02/08/2025,19:45,Gent,RAAL La Louviere,1,0,H,football-data
Belgian Pro League,Belgium,B1,03/08/2025,12:30,Genk,Antwerp,1,1,D,football-data
Scottish Premiership,Scotland,SC0,03/08/2025,14:00,Falkirk,Dundee United,2,2,D,football-data
Belgian Pro League,Belgium,B1,03/08/2025,15:00,Cercle Brugge,Anderlecht,0,2,A,football-data
Scottish Premiership,Scotland,SC0,03/08/2025,15:00,Dundee,Hibernian,1,2,A,football-data
Scottish Premiership,Scotland,SC0,03/08/2025,16:30,Celtic,St Mirren,1,0,H,football-data
Belgian Pro League,Belgium,B1,03/08/2025,17:30,St. Gilloise,Oud-Heverlee Leuven,5,0,H,football-data
Belgian Pro League,Belgium,B1,03/08/2025,18:15,Charleroi,St Truiden,1,1,D,football-data
Scottish Premiership,Scotland,SC0,04/08/2025,20:00,Hearts,Aberdeen,2,0,H,football-data
Eredivisie,Netherlands,N1,08/08/2025,18:00,Fortuna Sittard,Go Ahead Eagles,2,2,D,fixturedownload
Eredivisie,Netherlands,N1,08/08/2025,19:00,For Sittard,Go Ahead Eagles,2,2,D,football-data
Primeira Liga,Portugal,P1,08/08/2025,19:15,Casa Pia AC,Sporting CP,0,2,A,fixturedownload
Turkish Super Lig,Turkey,T1,08/08/2025,19:30,Gaziantep,Galatasaray,0,3,A,football-data
Belgian Pro League,Belgium,B1,08/08/2025,19:45,St Truiden,Dender,2,0,H,football-data
Primeira Liga,Portugal,P1,08/08/2025,20:15,Casa Pia,Sp Lisbon,0,2,A,football-data
Eredivisie,Netherlands,N1,09/08/2025,14:30,N.E.C. Nijmegen,Excelsior Rotterdam,5,0,H,fixturedownload
Primeira Liga,Portugal,P1,09/08/2025,14:30,CD Nacional,Gil Vicente FC,0,2,A,fixturedownload
Belgian Pro League,Belgium,B1,09/08/2025,15:00,Club Brugge,Cercle Brugge,2,0,H,football-data
Scottish Premiership,Scotland,SC0,09/08/2025,15:00,Livingston,Falkirk,3,1,H,football-data
Scottish Premiership,Scotland,SC0,09/08/2025,15:00,St Mirren,Motherwell,0,0,D,football-data
Eredivisie,Netherlands,N1,09/08/2025,15:30,Nijmegen,Excelsior,5,0,H,football-data
Primeira Liga,Portugal,P1,09/08/2025,15:30,Nacional,Gil Vicente,0,2,A,football-data
Turkish Super Lig,Turkey,T1,09/08/2025,16:00,Samsunspor,Gençlerbirligi,2,1,H,fixturedownload
Turkish Super Lig,Turkey,T1,09/08/2025,17:00,Samsunspor,Genclerbirligi,2,1,H,football-data
Belgian Pro League,Belgium,B1,09/08/2025,17:15,Westerlo,Mechelen,0,1,A,football-data
Eredivisie,Netherlands,N1,09/08/2025,17:45,Feyenoord,NAC Breda,2,0,H,football-data
Scottish Premiership,Scotland,SC0,09/08/2025,17:45,Rangers,Dundee,1,1,D,football-data
Eredivisie,Netherlands,N1,09/08/2025,18:00,sc Heerenveen,FC Volendam,1,1,D,fixturedownload
Eredivisie,Netherlands,N1,09/08/2025,19:00,Heerenveen,Volendam,1,1,D,football-data
Eredivisie,Netherlands,N1,09/08/2025,19:00,PSV,Sparta Rotterdam,6,1,H,fixturedownload
Primeira Liga,Portugal,P1,09/08/2025,19:30,FC Arouca,AFS,3,1,H,fixturedownload
Turkish Super Lig,Turkey,T1,09/08/2025,19:30,Antalyaspor,Kasimpasa,2,1,H,football-data
Belgian Pro League,Belgium,B1,09/08/2025,19:45,Gent,St. Gilloise,2,3,A,football-data
Eredivisie,Netherlands,N1,09/08/2025,20:00,PSV Eindhoven,Sparta Rotterdam,6,1,H,football-data
Primeira Liga,Portugal,P1,09/08/2025,20:30,Arouca,AVS,3,1,H,football-data
Eredivisie,Netherlands,N1,10/08/2025,10:15,PEC Zwolle,FC Twente,1,0,H,fixturedownload
Eredivisie,Netherlands,N1,10/08/2025,11:15,Zwolle,Twente,1,0,H,football-data
Belgian Pro League,Belgium,B1,10/08/2025,12:30,RAAL La Louviere,Charleroi,1,0,H,football-data
Eredivisie,Netherlands,N1,10/08/2025,12:30,AZ,FC Groningen,4,1,H,fixturedownload
Scottish Premiership,Scotland,SC0,10/08/2025,12:30,Aberdeen,Celtic,0,2,A,football-data
Eredivisie,Netherlands,N1,10/08/2025,13:30,AZ Alkmaar,Groningen,4,1,H,football-data
Eredivisie,Netherlands,N1,10/08/2025,13:30,Ajax,Telstar,2,0,H,football-data
Eredivisie,Netherlands,N1,10/08/2025,14:45,FC Utrecht,Heracles Almelo,4,0,H,fixturedownload
Belgian Pro League,Belgium,B1,10/08/2025,15:00,Anderlecht,Waregem,2,3,A,football-data
Scottish Premiership,Scotland,SC0,10/08/2025,15:00,Dundee United,Hearts,2,3,A,football-data
Scottish Premiership,Scotland,SC0,10/08/2025,15:00,Hibernian,Kilmarnock,2,2,D,football-data
Eredivisie,Netherlands,N1,10/08/2025,15:45,Utrecht,Heracles,4,0,H,football-data
Primeira Liga,Portugal,P1,10/08/2025,16:00,FC Famalicão,Santa Clara,3,0,H,fixturedownload
Turkish Super Lig,Turkey,T1,10/08/2025,16:00,Çaykur Rizespor,Göztepe,0,3,A,fixturedownload
Primeira Liga,Portugal,P1,10/08/2025,17:00,Famalicao,Santa Clara,3,0,H,football-data
Turkish Super Lig,Turkey,T1,10/08/2025,17:00,Rizespor,Goztep,0,3,A,football-data
Belgian Pro League,Belgium,B1,10/08/2025,17:30,Standard,Genk,2,1,H,football-data
Belgian Pro League,Belgium,B1,10/08/2025,18:15,Antwerp,Oud-Heverlee Leuven,3,1,H,football-data
Turkish Super Lig,Turkey,T1,10/08/2025,18:30,Eyüpspor,Konyaspor,1,4,A,fixturedownload
Primeira Liga,Portugal,P1,10/08/2025,19:30,Moreirense FC,FC Alverca,2,1,H,fixturedownload
Primeira Liga,Portugal,P1,10/08/2025,19:30,SC Braga,CD Tondela,3,0,H,fixturedownload
Turkish Super Lig,Turkey,T1,10/08/2025,19:30,Eyupspor,Konyaspor,1,4,A,football-data
Primeira Liga,Portugal,P1,10/08/2025,20:30,Moreirense,Alverca,2,1,H,football-data
Primeira Liga,Portugal,P1,10/08/2025,20:30,Sp Braga,Tondela,3,0,H,football-data
Primeira Liga,Portugal,P1,11/08/2025,17:45,Estoril Praia,Estrela Amadora,1,1,D,fixturedownload
Primeira Liga,Portugal,P1,11/08/2025,18:45,Estoril,Estrela,1,1,D,football-data
Turkish Super Lig,Turkey,T1,11/08/2025,19:30,Trabzonspor,Kocaelispor,1,0,H,football-data
Primeira Liga,Portugal,P1,11/08/2025,19:45,FC Porto,Vitória SC,3,0,H,fixturedownload
Primeira Liga,Portugal,P1,11/08/2025,20:45,Porto,Guimaraes,3,0,H,football-data
Primeira Liga,Portugal,P1,15/08/2025,14:45,AFS,Casa Pia AC,0,2,A,fixturedownload
Primeira Liga,Portugal,P1,15/08/2025,15:30,AVS,Casa Pia,0,2,A,football-data
La Liga,Spain,SP1,15/08/2025,17:00,Girona FC,Rayo Vallecano,1,3,A,fixturedownload
Eredivisie,Netherlands,N1,15/08/2025,18:00,Telstar,PEC Zwolle,0,2,A,fixturedownload
La Liga,Spain,SP1,15/08/2025,18:00,Girona,Vallecano,1,3,A,football-data
Turkish Super Lig,Turkey,T1,15/08/2025,18:30,Galatasaray,Fatih Karagümrük,3,0,H,fixturedownload
Ligue 1,France,F1,15/08/2025,18:45,Stade Rennais FC,Olympique de Marseille,1,0,H,fixturedownload
Eredivisie,Netherlands,N1,15/08/2025,19:00,Telstar,Zwolle,0,2,A,football-data
La Liga,Spain,SP1,15/08/2025,19:30,Villarreal CF,Real Oviedo,2,0,H,fixturedownload
Turkish Super Lig,Turkey,T1,15/08/2025,19:30,Galatasaray,Karagumruk,3,0,H,football-data
Belgian Pro League,Belgium,B1,15/08/2025,19:45,Oud-Heverlee Leuven,Genk,1,2,A,football-data
Ligue 1,France,F1,15/08/2025,19:45,Rennes,Marseille,1,0,H,football-data
