Date,Result
22/03/2026,Real Madrid 3 - 2 Atlético Madrid
22/03/2026,Athletic Bilbao 2 - 1 Real Betis
22/03/2026,Celta Vigo 3 - 4 Deportivo Alavés
22/03/2026,Barcelona 1 - 0 Rayo Vallecano
21/03/2026,Sevilla 0 - 2 Valencia
21/03/2026,Levante 4 - 2 Real Oviedo
21/03/2026,Osasuna 1 - 0 Girona
21/03/2026,Espanyol 1 - 2 Getafe
21/03/2026,Elche 2 - 1 Real Mallorca
20/03/2026,Villarreal 3 - 1 Real Sociedad
16/03/2026,Rayo Vallecano 1 - 1 Levante
15/03/2026,Real Sociedad 3 - 1 Osasuna
15/03/2026,Real Betis 1 - 1 Celta Vigo
15/03/2026,Barcelona 5 - 2 Sevilla
15/03/2026,Real Mallorca 2 - 1 Espanyol
14/03/2026,Real Madrid 4 - 1 Elche
14/03/2026,Real Oviedo 1 - 0 Valencia
14/03/2026,Atlético Madrid 1 - 0 Getafe
14/03/2026,Girona 3 - 0 Athletic Bilbao
13/03/2026,Deportivo Alavés 1 - 1 Villarreal
09/03/2026,Espanyol 1 - 1 Real Oviedo
08/03/2026,Valencia 3 - 2 Deportivo Alavés
08/03/2026,Sevilla 1 - 1 Rayo Vallecano
08/03/2026,Getafe 2 - 0 Real Betis
08/03/2026,Villarreal 2 - 1 Elche
07/03/2026,Athletic Bilbao 0 - 1 Barcelona
07/03/2026,Atlético Madrid 3 - 2 Real Sociedad
07/03/2026,Levante 1 - 1 Girona
07/03/2026,Osasuna 2 - 2 Real Mallorca
06/03/2026,Celta Vigo 1 - 2 Real Madrid
04/03/2026,Rayo Vallecano 3 - 0 Real Oviedo
02/03/2026,Real Madrid 0 - 1 Getafe
01/03/2026,Girona 1 - 2 Celta Vigo
01/03/2026,Real Betis 2 - 2 Sevilla
01/03/2026,Valencia 1 - 0 Osasuna
01/03/2026,Elche 2 - 2 Espanyol
28/02/2026,Real Oviedo 0 - 1 Atlético Madrid
28/02/2026,Real Mallorca 0 - 1 Real Sociedad
28/02/2026,Barcelona 4 - 1 Villarreal
28/02/2026,Rayo Vallecano 1 - 1 Athletic Bilbao
27/02/2026,Levante 2 - 0 Deportivo Alavés
23/02/2026,Deportivo Alavés 2 - 2 Girona
22/02/2026,Villarreal 2 - 1 Valencia
22/02/2026,Celta Vigo 2 - 0 Real Mallorca
22/02/2026,Barcelona 3 - 0 Levante
22/02/2026,Getafe 0 - 1 Sevilla
21/02/2026,Atlético Madrid 4 - 2 Espanyol
21/02/2026,Osasuna 2 - 1 Real Madrid
21/02/2026,Real Betis 1 - 1 Rayo Vallecano
21/02/2026,Real Sociedad 3 - 3 Real Oviedo
20/02/2026,Athletic Bilbao 2 - 1 Elche
18/02/2026,Levante 0 - 1 Villarreal
16/02/2026,Girona 2 - 1 Barcelona
15/02/2026,Real Mallorca 1 - 2 Real Betis
15/02/2026,Levante 0 - 2 Valencia
15/02/2026,Rayo Vallecano 3 - 0 Atlético Madrid
15/02/2026,Real Oviedo 1 - 2 Athletic Bilbao
14/02/2026,Real Madrid 4 - 1 Real Sociedad
14/02/2026,Sevilla 1 - 1 Deportivo Alavés
14/02/2026,Getafe 2 - 1 Villarreal
14/02/2026,Espanyol 2 - 2 Celta Vigo
13/02/2026,Elche 0 - 0 Osasuna
09/02/2026,Villarreal 4 - 1 Espanyol
08/02/2026,Valencia 0 - 2 Real Madrid
08/02/2026,Atlético Madrid 0 - 1 Real Betis
08/02/2026,Sevilla 1 - 1 Girona
08/02/2026,Athletic Bilbao 4 - 2 Levante
08/02/2026,Deportivo Alavés 0 - 2 Getafe
07/02/2026,Real Sociedad 3 - 1 Elche
07/02/2026,Barcelona 3 - 0 Real Mallorca
06/02/2026,Celta Vigo 1 - 2 Osasuna
02/02/2026,Real Mallorca 4 - 1 Sevilla
01/02/2026,Athletic Bilbao 1 - 1 Real Sociedad
01/02/2026,Getafe 0 - 0 Celta Vigo
01/02/2026,Real Betis 2 - 1 Valencia
01/02/2026,Real Madrid 2 - 1 Rayo Vallecano
31/01/2026,Elche 1 - 3 Barcelona
31/01/2026,Levante 0 - 0 Atlético Madrid
31/01/2026,Osasuna 2 - 2 Villarreal
31/01/2026,Real Oviedo 1 - 0 Girona
30/01/2026,Espanyol 1 - 2 Deportivo Alavés
26/01/2026,Girona 1 - 1 Getafe
25/01/2026,Deportivo Alavés 2 - 1 Real Betis
25/01/2026,Real Sociedad 3 - 1 Celta Vigo
25/01/2026,Barcelona 3 - 0 Real Oviedo
25/01/2026,Atlético Madrid 3 - 0 Real Mallorca
24/01/2026,Villarreal 0 - 2 Real Madrid
24/01/2026,Sevilla 2 - 1 Athletic Bilbao
24/01/2026,Valencia 3 - 2 Espanyol
24/01/2026,Rayo Vallecano 1 - 3 Osasuna
23/01/2026,Levante 3 - 2 Elche
19/01/2026,Elche 2 - 2 Sevilla
18/01/2026,Real Sociedad 2 - 1 Barcelona
18/01/2026,Celta Vigo 3 - 0 Rayo Vallecano
18/01/2026,Atlético Madrid 1 - 0 Deportivo Alavés
18/01/2026,Getafe 0 - 1 Valencia
17/01/2026,Real Betis 2 - 0 Villarreal
17/01/2026,Osasuna 3 - 2 Real Oviedo
17/01/2026,Real Mallorca 3 - 2 Athletic Bilbao
17/01/2026,Real Madrid 2 - 0 Levante
16/01/2026,Espanyol 0 - 2 Girona
12/01/2026,Sevilla 0 - 1 Celta Vigo
11/01/2026,Levante 1 - 1 Espanyol
11/01/2026,Rayo Vallecano 2 - 1 Real Mallorca
10/01/2026,Valencia 1 - 1 Elche
10/01/2026,Girona 1 - 0 Osasuna
10/01/2026,Villarreal 3 - 1 Deportivo Alavés
10/01/2026,Real Oviedo 1 - 1 Real Betis
09/01/2026,Getafe 1 - 2 Real Sociedad
04/01/2026,Real Sociedad 1 - 1 Atlético Madrid
04/01/2026,Deportivo Alavés 1 - 1 Real Oviedo
04/01/2026,Real Mallorca 1 - 2 Girona
04/01/2026,Real Madrid 5 - 1 Real Betis
04/01/2026,Sevilla 0 - 3 Levante
03/01/2026,Espanyol 0 - 2 Barcelona
03/01/2026,Elche 1 - 3 Villarreal
03/01/2026,Osasuna 1 - 1 Athletic Bilbao
03/01/2026,Celta Vigo 4 - 1 Valencia
02/01/2026,Rayo Vallecano 1 - 1 Getafe
22/12/2025,Athletic Bilbao 1 - 2 Espanyol
21/12/2025,Real Betis 4 - 0 Getafe
21/12/2025,Elche 4 - 0 Rayo Vallecano
21/12/2025,Villarreal 0 - 2 Barcelona
21/12/2025,Girona 0 - 3 Atlético Madrid
20/12/2025,Real Madrid 2 - 0 Sevilla
20/12/2025,Osasuna 3 - 0 Deportivo Alavés
20/12/2025,Levante 1 - 1 Real Sociedad
20/12/2025,Real Oviedo 0 - 0 Celta Vigo
19/12/2025,Valencia 1 - 1 Real Mallorca
15/12/2025,Rayo Vallecano 0 - 0 Real Betis
14/12/2025,Deportivo Alavés 1 - 2 Real Madrid
14/12/2025,Celta Vigo 2 - 0 Athletic Bilbao
