Date,Result
22/03/2026,Sporting Braga 1 - 2 Porto
22/03/2026,FC Alverca 1 - 4 Sporting CP
22/03/2026,GD Estoril 1 - 2 Rio Ave
21/03/2026,CD Tondela 0 - 0 AVS
21/03/2026,Santa Clara 1 - 0 Gil Vicente
21/03/2026,SL Benfica 3 - 0 Vitória
21/03/2026,Moreirense FC 0 - 1 FC Arouca
21/03/2026,FC Famalicão 1 - 0 Nacional Madeira
20/03/2026,Estrela Amadora 4 - 0 Casa Pia AC
15/03/2026,Porto 3 - 0 Moreirense FC
15/03/2026,Rio Ave 2 - 1 Estrela Amadora
15/03/2026,Nacional Madeira 0 - 1 GD Estoril
15/03/2026,AVS 0 - 1 Santa Clara
14/03/2026,FC Arouca 1 - 2 SL Benfica
14/03/2026,Gil Vicente 2 - 2 FC Alverca
14/03/2026,Vitória 1 - 2 FC Famalicão
09/03/2026,CD Tondela 0 - 1 Rio Ave
08/03/2026,Santa Clara 2 - 0 Vitória
08/03/2026,SL Benfica 2 - 2 Porto
08/03/2026,Estrela Amadora 2 - 2 Gil Vicente
07/03/2026,GD Estoril 0 - 0 Casa Pia AC
07/03/2026,Sporting Braga 2 - 2 Sporting CP
07/03/2026,FC Alverca 0 - 0 AVS
07/03/2026,Moreirense FC 1 - 1 Nacional Madeira
06/03/2026,FC Famalicão 1 - 0 FC Arouca
02/03/2026,Gil Vicente 1 - 2 SL Benfica
01/03/2026,Rio Ave 0 - 0 FC Famalicão
01/03/2026,Casa Pia AC 1 - 1 Moreirense FC
01/03/2026,CD Tondela 2 - 2 Santa Clara
28/02/2026,Vitória 1 - 1 FC Alverca
28/02/2026,Nacional Madeira 1 - 2 Sporting Braga
28/02/2026,AVS 0 - 0 Estrela Amadora
27/02/2026,Sporting CP 3 - 0 GD Estoril
27/02/2026,Porto 3 - 1 FC Arouca
23/02/2026,FC Famalicão 2 - 0 Casa Pia AC
22/02/2026,Porto 1 - 0 Rio Ave
22/02/2026,GD Estoril 3 - 1 Gil Vicente
21/02/2026,Sporting Braga 3 - 2 Vitória
21/02/2026,Moreirense FC 0 - 3 Sporting CP
21/02/2026,SL Benfica 3 - 0 AVS
