Position,Team,TeamId,Played,Wins,Draws,Losses,GoalsFor,GoalsAgainst,GoalDifference,Points,LogoUrl
1,FC Porto,9773,27,23,3,1,54,11,43,72,https://images.fotmob.com/image_resources/logo/teamlogo/9773.png
2,Sporting CP,9768,26,20,5,1,68,15,53,65,https://images.fotmob.com/image_resources/logo/teamlogo/9768.png
3,Benfica,9772,27,19,8,,58,17,41,65,https://images.fotmob.com/image_resources/logo/teamlogo/9772.png
4,Braga,10264,26,13,7,6,53,27,26,46,https://images.fotmob.com/image_resources/logo/teamlogo/10264.png
5,Famalicao,1634,27,13,6,8,33,22,11,45,https://images.fotmob.com/image_resources/logo/teamlogo/1634.png
6,Gil Vicente,9764,27,11,9,7,39,28,11,42,https://images.fotmob.com/image_resources/logo/teamlogo/9764.png
7,Estoril,7842,27,10,7,10,48,44,4,37,https://images.fotmob.com/image_resources/logo/teamlogo/7842.png
8,Moreirense,8348,27,10,5,12,31,39,-8,35,https://images.fotmob.com/image_resources/logo/teamlogo/8348.png
9,Vitoria de Guimaraes,7844,27,9,5,13,29,42,-13,32,https://images.fotmob.com/image_resources/logo/teamlogo/7844.png
10,Rio Ave,7841,27,7,9,11,28,46,-18,30,https://images.fotmob.com/image_resources/logo/teamlogo/7841.png
11,Arouca,158085,27,8,5,14,34,55,-21,29,https://images.fotmob.com/image_resources/logo/teamlogo/158085.png
12,Alverca,9780,27,7,8,12,27,45,-18,29,https://images.fotmob.com/image_resources/logo/teamlogo/9780.png
13,Estrela da Amadora,1074320,27,6,10,11,33,45,-12,28,https://images.fotmob.com/image_resources/logo/teamlogo/1074320.png
14,Santa Clara,1567,27,7,7,13,24,31,-7,28,https://images.fotmob.com/image_resources/logo/teamlogo/1567.png
15,Casa Pia AC,212821,26,5,9,12,26,48,-22,24,https://images.fotmob.com/image_resources/logo/teamlogo/212821.png
16,Nacional,10214,27,5,7,15,29,39,-10,22,https://images.fotmob.com/image_resources/logo/teamlogo/10214.png
17,Tondela,188163,26,4,8,14,19,39,-20,20,https://images.fotmob.com/image_resources/logo/teamlogo/188163.png
18,AVS Futebol SAD,1889,27,1,8,18,18,58,-40,11,https://images.fotmob.com/image_resources/logo/teamlogo/1889.png
