Date,Result
22/03/2026,Nantes 2 - 3 Strasbourg
22/03/2026,Olympique Marseille 1 - 2 Lille
22/03/2026,Paris FC 3 - 2 Le Havre
22/03/2026,Rennes 0 - 0 Metz
22/03/2026,Lyon 1 - 2 Monaco
21/03/2026,Nice 0 - 4 PSG
21/03/2026,Auxerre 3 - 0 Brest
21/03/2026,Toulouse 1 - 0 Lorient
20/03/2026,Lens 5 - 1 Angers
15/03/2026,Rennes 1 - 2 Lille
15/03/2026,Le Havre 0 - 0 Lyon
15/03/2026,Metz 3 - 4 Toulouse
15/03/2026,Strasbourg 0 - 0 Paris FC
14/03/2026,Monaco 2 - 0 Brest
14/03/2026,Angers 0 - 2 Nice
14/03/2026,Lorient 2 - 1 Lens
13/03/2026,Olympique Marseille 1 - 0 Auxerre
08/03/2026,Lyon 1 - 1 Paris FC
08/03/2026,Brest 2 - 0 Le Havre
08/03/2026,Lille 1 - 1 Lorient
08/03/2026,Nice 0 - 4 Rennes
08/03/2026,Lens 3 - 0 Metz
07/03/2026,Toulouse 0 - 1 Olympique Marseille
07/03/2026,Auxerre 0 - 0 Strasbourg
07/03/2026,Nantes 0 - 1 Angers
06/03/2026,PSG 1 - 3 Monaco
01/03/2026,Olympique Marseille 3 - 2 Lyon
01/03/2026,Lorient 2 - 2 Auxerre
01/03/2026,Metz 0 - 1 Brest
01/03/2026,Lille 1 - 0 Nantes
01/03/2026,Paris FC 1 - 0 Nice
28/02/2026,Le Havre 0 - 1 PSG
28/02/2026,Monaco 2 - 0 Angers
28/02/2026,Rennes 1 - 0 Toulouse
27/02/2026,Strasbourg 1 - 1 Lens
22/02/2026,Strasbourg 3 - 1 Lyon
22/02/2026,Nice 3 - 3 Lorient
22/02/2026,Nantes 2 - 0 Le Havre
22/02/2026,Angers 0 - 1 Lille
22/02/2026,Auxerre 0 - 3 Rennes
21/02/2026,PSG 3 - 0 Metz
21/02/2026,Toulouse 1 - 1 Paris FC
21/02/2026,Lens 2 - 3 Monaco
20/02/2026,Brest 2 - 0 Olympique Marseille
15/02/2026,Lyon 2 - 0 Nice
15/02/2026,Metz 1 - 3 Auxerre
15/02/2026,Lorient 2 - 0 Angers
15/02/2026,Le Havre 2 - 1 Toulouse
14/02/2026,Paris FC 0 - 5 Lens
14/02/2026,Lille 1 - 1 Brest
14/02/2026,Olympique Marseille 2 - 2 Strasbourg
13/02/2026,Monaco 3 - 1 Nantes
13/02/2026,Rennes 3 - 1 PSG
08/02/2026,PSG 5 - 0 Olympique Marseille
08/02/2026,Auxerre 0 - 0 Paris FC
08/02/2026,Angers 1 - 0 Toulouse
08/02/2026,Le Havre 2 - 1 Strasbourg
08/02/2026,Nice 0 - 0 Monaco
07/02/2026,Nantes 0 - 1 Lyon
07/02/2026,Brest 2 - 0 Lorient
07/02/2026,Lens 3 - 1 Rennes
06/02/2026,Metz 0 - 0 Lille
01/02/2026,Strasbourg 1 - 2 PSG
01/02/2026,Angers 1 - 0 Metz
01/02/2026,Toulouse 0 - 0 Auxerre
01/02/2026,Nice 2 - 2 Brest
01/02/2026,Lyon 1 - 0 Lille
31/01/2026,Monaco 4 - 0 Rennes
31/01/2026,Lorient 2 - 1 Nantes
31/01/2026,Paris FC 2 - 2 Olympique Marseille
30/01/2026,Lens 1 - 0 Le Havre
25/01/2026,Lille 1 - 4 Strasbourg
25/01/2026,Metz 2 - 5 Lyon
25/01/2026,Paris FC 0 - 0 Angers
25/01/2026,Brest 0 - 2 Toulouse
25/01/2026,Nantes 1 - 4 Nice
24/01/2026,Olympique Marseille 3 - 1 Lens
24/01/2026,Le Havre 0 - 0 Monaco
24/01/2026,Rennes 0 - 2 Lorient
23/01/2026,Auxerre 0 - 1 PSG
18/01/2026,Lyon 2 - 1 Brest
18/01/2026,Rennes 1 - 1 Le Havre
18/01/2026,Nantes 1 - 2 Paris FC
18/01/2026,Strasbourg 2 - 1 Metz
17/01/2026,Angers 2 - 5 Olympique Marseille
17/01/2026,Toulouse 5 - 1 Nice
17/01/2026,Lens 1 - 0 Auxerre
16/01/2026,PSG 3 - 0 Lille
16/01/2026,Monaco 1 - 3 Lorient
04/01/2026,PSG 2 - 1 Paris FC
04/01/2026,Lorient 1 - 1 Metz
04/01/2026,Brest 2 - 0 Auxerre
04/01/2026,Le Havre 2 - 1 Angers
04/01/2026,Olympique Marseille 0 - 2 Nantes
03/01/2026,Lille 0 - 2 Rennes
03/01/2026,Nice 1 - 1 Strasbourg
03/01/2026,Monaco 1 - 3 Lyon
02/01/2026,Toulouse 0 - 3 Lens
14/12/2025,Olympique Marseille 1 - 0 Monaco
14/12/2025,Strasbourg 0 - 0 Lorient
14/12/2025,Lens 2 - 0 Nice
14/12/2025,Auxerre 3 - 4 Lille
14/12/2025,Lyon 1 - 0 Le Havre
13/12/2025,Paris FC 0 - 3 Toulouse
13/12/2025,Metz 2 - 3 PSG
13/12/2025,Rennes 3 - 1 Brest
12/12/2025,Angers 4 - 1 Nantes
07/12/2025,Lorient 1 - 0 Lyon
07/12/2025,Auxerre 3 - 1 Metz
07/12/2025,Le Havre 0 - 0 Paris FC
07/12/2025,Nice 0 - 1 Angers
06/12/2025,PSG 5 - 0 Rennes
06/12/2025,Toulouse 1 - 0 Strasbourg
06/12/2025,Nantes 1 - 2 Lens
05/12/2025,Lille 1 - 0 Olympique Marseille
05/12/2025,Brest 1 - 0 Monaco
30/11/2025,Lyon 3 - 0 Nantes
30/11/2025,Lorient 3 - 1 Nice
30/11/2025,Le Havre 0 - 1 Lille
30/11/2025,Angers 1 - 2 Lens
30/11/2025,Strasbourg 1 - 2 Brest
29/11/2025,Olympique Marseille 2 - 2 Toulouse
29/11/2025,Paris FC 1 - 1 Auxerre
29/11/2025,Monaco 1 - 0 PSG
