Position,Team,TeamId,Played,Wins,Draws,Losses,GoalsFor,GoalsAgainst,GoalDifference,Points,LogoUrl
1,Paris Saint-Germain,9847,26,19,3,4,58,22,36,60,https://images.fotmob.com/image_resources/logo/teamlogo/9847.png
2,Lens,8588,27,19,2,6,54,24,30,59,https://images.fotmob.com/image_resources/logo/teamlogo/8588.png
3,Marseille,8592,27,15,4,8,54,35,19,49,https://images.fotmob.com/image_resources/logo/teamlogo/8592.png
4,Lyon,9748,27,14,5,8,41,29,12,47,https://images.fotmob.com/image_resources/logo/teamlogo/9748.png
5,Lille,8639,27,14,5,8,42,34,8,47,https://images.fotmob.com/image_resources/logo/teamlogo/8639.png
6,Monaco,9829,27,14,4,9,47,38,9,46,https://images.fotmob.com/image_resources/logo/teamlogo/9829.png
7,Rennes,9851,27,12,8,7,43,37,6,44,https://images.fotmob.com/image_resources/logo/teamlogo/9851.png
8,Strasbourg,9848,27,11,7,9,43,33,10,40,https://images.fotmob.com/image_resources/logo/teamlogo/9848.png
9,Toulouse,9941,27,10,7,10,38,32,6,37,https://images.fotmob.com/image_resources/logo/teamlogo/9941.png
10,Lorient,8689,27,9,10,8,37,41,-4,37,https://images.fotmob.com/image_resources/logo/teamlogo/8689.png
11,Brest,8521,27,10,6,11,34,39,-5,36,https://images.fotmob.com/image_resources/logo/teamlogo/8521.png
12,Angers,8121,27,9,5,13,24,37,-13,32,https://images.fotmob.com/image_resources/logo/teamlogo/8121.png
13,Paris FC,6379,27,7,10,10,32,43,-11,31,https://images.fotmob.com/image_resources/logo/teamlogo/6379.png
14,Le Havre,9746,27,6,9,12,22,35,-13,27,https://images.fotmob.com/image_resources/logo/teamlogo/9746.png
15,Nice,9831,27,7,6,14,32,52,-20,27,https://images.fotmob.com/image_resources/logo/teamlogo/9831.png
16,Auxerre,8583,27,5,7,15,22,36,-14,22,https://images.fotmob.com/image_resources/logo/teamlogo/8583.png
17,Nantes,9830,26,4,5,17,24,45,-21,17,https://images.fotmob.com/image_resources/logo/teamlogo/9830.png
18,Metz,8550,27,3,5,19,25,60,-35,14,https://images.fotmob.com/image_resources/logo/teamlogo/8550.png
