Date,Result
14/03/2026,Al Fateh (KSA) 0 - 1 Al Hilal
14/03/2026,Shabab Riyadh 2 - 0 Al Akhdood
14/03/2026,Al Khaleej Club 0 - 5 Al Nassr
13/03/2026,Al Riyadh SC 3 - 1 Ittihad Jeddah
13/03/2026,Qadisiya Khubar 3 - 2 Al Ahli
13/03/2026,Al Feiha 1 - 0 Ettifaq FC
12/03/2026,Neom SC 2 - 2 Taawoun
12/03/2026,Al Hazm 2 - 1 Al Kholood Club
12/03/2026,Al Najma (KSA) 1 - 3 Damak
07/03/2026,Al Nassr 1 - 0 Neom SC
07/03/2026,Ettifaq FC 1 - 1 Shabab Riyadh
07/03/2026,Al Kholood Club 1 - 4 Qadisiya Khubar
07/03/2026,Al Akhdood 0 - 5 Al Feiha
06/03/2026,Taawoun 3 - 2 Al Fateh (KSA)
06/03/2026,Al Hilal 4 - 0 Al Najma (KSA)
06/03/2026,Al Khaleej Club 2 - 1 Al Hazm
06/03/2026,Al Ahli 3 - 1 Ittihad Jeddah
05/03/2026,Damak 3 - 0 Al Riyadh SC
28/02/2026,Al Feiha 1 - 3 Al Nassr
28/02/2026,Al Najma (KSA) 1 - 3 Al Akhdood
28/02/2026,Qadisiya Khubar 1 - 1 Taawoun
28/02/2026,Neom SC 1 - 2 Al Kholood Club
27/02/2026,Al Hazm 3 - 1 Ettifaq FC
27/02/2026,Shabab Riyadh 3 - 5 Al Hilal
27/02/2026,Ittihad Jeddah 1 - 0 Al Khaleej Club
26/02/2026,Al Riyadh SC 0 - 1 Al Ahli
26/02/2026,Al Fateh (KSA) 1 - 1 Damak
25/02/2026,Al Feiha 1 - 1 Neom SC
25/02/2026,Al Najma (KSA) 0 - 5 Al Nassr
24/02/2026,Al Khaleej Club 2 - 3 Al Kholood Club
24/02/2026,Al Hazm 1 - 1 Ittihad Jeddah
24/02/2026,Taawoun 1 - 1 Al Hilal
23/02/2026,Qadisiya Khubar 4 - 0 Ettifaq FC
23/02/2026,Al Fateh (KSA) 2 - 1 Al Akhdood
23/02/2026,Shabab Riyadh 3 - 1 Al Riyadh SC
23/02/2026,Damak 0 - 1 Al Ahli
21/02/2026,Al Hilal 1 - 1 Ittihad Jeddah
21/02/2026,Al Nassr 4 - 0 Al Hazm
21/02/2026,Al Khaleej Club 0 - 1 Neom SC
20/02/2026,Al Akhdood 2 - 4 Qadisiya Khubar
20/02/2026,Taawoun 2 - 3 Al Feiha
20/02/2026,Damak 1 - 3 Shabab Riyadh
19/02/2026,Al Ahli 4 - 1 Al Najma (KSA)
19/02/2026,Ettifaq FC 4 - 3 Al Fateh (KSA)
19/02/2026,Al Kholood Club 0 - 2 Al Riyadh SC
14/02/2026,Al Fateh (KSA) 0 - 2 Al Nassr
14/02/2026,Al Najma (KSA) 2 - 1 Al Kholood Club
14/02/2026,Al Riyadh SC 1 - 1 Al Khaleej Club
13/02/2026,Ittihad Jeddah 2 - 1 Al Feiha
13/02/2026,Al Hilal 2 - 0 Ettifaq FC
13/02/2026,Shabab Riyadh 2 - 5 Al Ahli
12/02/2026,Qadisiya Khubar 1 - 0 Neom SC
12/02/2026,Al Hazm 2 - 1 Al Akhdood
12/02/2026,Damak 2 - 1 Taawoun
07/02/2026,Qadisiya Khubar 1 - 1 Al Fateh (KSA)
07/02/2026,Taawoun 1 - 1 Al Khaleej Club
07/02/2026,Al Kholood Club 1 - 0 Shabab Riyadh
06/02/2026,Al Nassr 2 - 0 Ittihad Jeddah
06/02/2026,Ettifaq FC 2 - 0 Damak
06/02/2026,Neom SC 1 - 0 Al Riyadh SC
05/02/2026,Al Akhdood 0 - 6 Al Hilal
05/02/2026,Al Ahli 2 - 0 Al Hazm
05/02/2026,Al Feiha 3 - 0 Al Najma (KSA)
03/02/2026,Al Khaleej Club 0 - 1 Qadisiya Khubar
03/02/2026,Ettifaq FC 1 - 0 Taawoun
03/02/2026,Damak 0 - 0 Al Kholood Club
02/02/2026,Al Akhdood 1 - 1 Neom SC
02/02/2026,Al Hilal 0 - 0 Al Ahli
02/02/2026,Al Riyadh SC 0 - 1 Al Nassr
01/02/2026,Al Fateh (KSA) 1 - 1 Al Hazm
01/02/2026,Ittihad Jeddah 1 - 0 Al Najma (KSA)
01/02/2026,Shabab Riyadh 1 - 0 Al Feiha
30/01/2026,Neom SC 3 - 0 Damak
30/01/2026,Al Kholood Club 0 - 3 Al Nassr
30/01/2026,Taawoun 1 - 0 Al Akhdood
29/01/2026,Al Hazm 0 - 4 Shabab Riyadh
29/01/2026,Qadisiya Khubar 2 - 2 Al Hilal
29/01/2026,Al Fateh (KSA) 2 - 2 Ittihad Jeddah
28/01/2026,Al Feiha 3 - 1 Al Khaleej Club
28/01/2026,Al Ahli 4 - 0 Ettifaq FC
28/01/2026,Al Najma (KSA) 1 - 1 Al Riyadh SC
26/01/2026,Al Nassr 1 - 0 Taawoun
26/01/2026,Ittihad Jeddah 2 - 1 Al Akhdood
26/01/2026,Al Hazm 2 - 1 Damak
25/01/2026,Al Riyadh SC 1 - 1 Al Hilal
25/01/2026,Al Feiha 2 - 0 Al Fateh (KSA)
25/01/2026,Al Najma (KSA) 1 - 3 Qadisiya Khubar
24/01/2026,Neom SC 0 - 3 Al Ahli
24/01/2026,Al Kholood Club 1 - 2 Ettifaq FC
24/01/2026,Al Khaleej Club 0 - 0 Shabab Riyadh
22/01/2026,Qadisiya Khubar 2 - 1 Ittihad Jeddah
22/01/2026,Al Hilal 4 - 1 Al Feiha
22/01/2026,Taawoun 2 - 2 Al Hazm
21/01/2026,Ettifaq FC 0 - 0 Neom SC
21/01/2026,Damak 1 - 2 Al Nassr
21/01/2026,Al Akhdood 2 - 2 Al Riyadh SC
20/01/2026,Al Ahli 4 - 1 Al Khaleej Club
20/01/2026,Al Fateh (KSA) 2 - 5 Al Kholood Club
20/01/2026,Shabab Riyadh 0 - 0 Al Najma (KSA)
18/01/2026,Al Riyadh SC 1 - 3 Taawoun
18/01/2026,Neom SC 1 - 2 Al Hilal
18/01/2026,Al Hazm 1 - 5 Qadisiya Khubar
17/01/2026,Al Nassr 3 - 2 Shabab Riyadh
17/01/2026,Al Kholood Club 0 - 1 Al Ahli
17/01/2026,Al Feiha 1 - 1 Damak
16/01/2026,Ittihad Jeddah 0 - 1 Ettifaq FC
16/01/2026,Al Khaleej Club 4 - 1 Al Akhdood
16/01/2026,Al Najma (KSA) 1 - 1 Al Fateh (KSA)
14/01/2026,Al Ahli 2 - 1 Taawoun
14/01/2026,Shabab Riyadh 3 - 2 Neom SC
14/01/2026,Qadisiya Khubar 5 - 0 Al Feiha
13/01/2026,Al Fateh (KSA) 3 - 1 Al Riyadh SC
13/01/2026,Damak 1 - 1 Ittihad Jeddah
13/01/2026,Al Akhdood 1 - 0 Al Kholood Club
12/01/2026,Ettifaq FC 1 - 2 Al Khaleej Club
12/01/2026,Al Hilal 3 - 1 Al Nassr
12/01/2026,Al Hazm 3 - 2 Al Najma (KSA)
10/01/2026,Al Akhdood 0 - 1 Al Ahli
10/01/2026,Al Riyadh SC 1 - 1 Al Feiha
10/01/2026,Neom SC 0 - 1 Al Fateh (KSA)
09/01/2026,Al Kholood Club 0 - 4 Ittihad Jeddah
