Team,TeamId,LogoUrl
Al Nassr FC,101918,https://images.fotmob.com/image_resources/logo/teamlogo/101918.png
Al Hilal,2529,https://images.fotmob.com/image_resources/logo/teamlogo/2529.png
Al Ahli,2530,https://images.fotmob.com/image_resources/logo/teamlogo/2530.png
Al Qadsiah,101919,https://images.fotmob.com/image_resources/logo/teamlogo/101919.png
Al-Taawoun,205686,https://images.fotmob.com/image_resources/logo/teamlogo/205686.png
Al Ittihad,8577,https://images.fotmob.com/image_resources/logo/teamlogo/8577.png
Al-Ettifaq,101915,https://images.fotmob.com/image_resources/logo/teamlogo/101915.png
Neom SC,1699505,https://images.fotmob.com/image_resources/logo/teamlogo/1699505.png
Al-Fayha,582749,https://images.fotmob.com/image_resources/logo/teamlogo/582749.png
Al Hazem,101911,https://images.fotmob.com/image_resources/logo/teamlogo/101911.png
Al Khaleej,550433,https://images.fotmob.com/image_resources/logo/teamlogo/550433.png
Al Shabab,101916,https://images.fotmob.com/image_resources/logo/teamlogo/101916.png
Al Fateh FC,177356,https://images.fotmob.com/image_resources/logo/teamlogo/177356.png
Al Kholood,1523706,https://images.fotmob.com/image_resources/logo/teamlogo/1523706.png
Damac FC,582823,https://images.fotmob.com/image_resources/logo/teamlogo/582823.png
Al Riyadh,582739,https://images.fotmob.com/image_resources/logo/teamlogo/582739.png
Al Akhdoud,582759,https://images.fotmob.com/image_resources/logo/teamlogo/582759.png
Al Najma,1523707,https://images.fotmob.com/image_resources/logo/teamlogo/1523707.png
