Date,Result
22/03/2026,Fiorentina 1 - 1 Inter
22/03/2026,Roma 1 - 0 Lecce
22/03/2026,Atalanta 1 - 0 Verona
22/03/2026,Bologna 0 - 2 Lazio
22/03/2026,Calcio Como 5 - 0 AC Pisa
21/03/2026,Juventus 1 - 1 Sassuolo
21/03/2026,Milan 3 - 2 Torino
21/03/2026,Parma 0 - 2 Cremonese
20/03/2026,Genoa 0 - 2 Udinese
20/03/2026,Cagliari 0 - 1 Napoli
16/03/2026,Cremonese 1 - 4 Fiorentina
15/03/2026,Lazio 1 - 0 Milan
15/03/2026,Calcio Como 2 - 1 Roma
15/03/2026,AC Pisa 3 - 1 Cagliari
15/03/2026,Sassuolo 0 - 1 Bologna
15/03/2026,Verona 0 - 2 Genoa
14/03/2026,Udinese 0 - 1 Juventus
14/03/2026,Napoli 2 - 1 Lecce
14/03/2026,Inter 1 - 1 Atalanta
13/03/2026,Torino 4 - 1 Parma
09/03/2026,Lazio 2 - 1 Sassuolo
08/03/2026,Milan 1 - 0 Inter
08/03/2026,Genoa 2 - 1 Roma
08/03/2026,Fiorentina 0 - 0 Parma
08/03/2026,Bologna 1 - 2 Verona
08/03/2026,Lecce 2 - 1 Cremonese
07/03/2026,Juventus 4 - 0 AC Pisa
07/03/2026,Atalanta 2 - 2 Udinese
07/03/2026,Cagliari 1 - 2 Calcio Como
06/03/2026,Napoli 2 - 1 Torino
02/03/2026,Udinese 3 - 0 Fiorentina
02/03/2026,AC Pisa 0 - 1 Bologna
01/03/2026,Roma 3 - 3 Juventus
01/03/2026,Torino 2 - 0 Lazio
01/03/2026,Sassuolo 2 - 1 Atalanta
01/03/2026,Cremonese 0 - 2 Milan
28/02/2026,Inter 2 - 0 Genoa
28/02/2026,Verona 1 - 2 Napoli
28/02/2026,Calcio Como 3 - 1 Lecce
27/02/2026,Parma 1 - 1 Cagliari
23/02/2026,Bologna 1 - 0 Udinese
23/02/2026,Fiorentina 1 - 0 AC Pisa
22/02/2026,Roma 3 - 0 Cremonese
22/02/2026,Milan 0 - 1 Parma
22/02/2026,Atalanta 2 - 1 Napoli
22/02/2026,Genoa 3 - 0 Torino
21/02/2026,Cagliari 0 - 0 Lazio
21/02/2026,Lecce 0 - 2 Inter
21/02/2026,Juventus 0 - 2 Calcio Como
20/02/2026,Sassuolo 3 - 0 Verona
18/02/2026,Milan 1 - 1 Calcio Como
16/02/2026,Cagliari 0 - 2 Lecce
15/02/2026,Napoli 2 - 2 Roma
15/02/2026,Torino 1 - 2 Bologna
15/02/2026,Parma 2 - 1 Verona
15/02/2026,Cremonese 0 - 0 Genoa
15/02/2026,Udinese 1 - 2 Sassuolo
14/02/2026,Inter 3 - 2 Juventus
14/02/2026,Lazio 0 - 2 Atalanta
14/02/2026,Calcio Como 1 - 2 Fiorentina
13/02/2026,AC Pisa 1 - 2 Milan
09/02/2026,Roma 2 - 0 Cagliari
09/02/2026,Atalanta 2 - 1 Cremonese
08/02/2026,Juventus 2 - 2 Lazio
