Date,Result
19/03/2026,Besiktas 2 - 1 Kasımpasa SK
19/03/2026,Konyaspor 1 - 0 Genclerbirligi
19/03/2026,Kayserispor 1 - 0 Fatih Karagümrük
18/03/2026,Basaksehir 0 - 0 Antalyaspor
18/03/2026,Eyüpspor 0 - 1 Trabzonspor
18/03/2026,Alanyaspor 5 - 0 Kocaelispor
17/03/2026,Fenerbahçe 4 - 1 Gaziantep
15/03/2026,Samsunspor 2 - 1 Kayserispor
15/03/2026,Genclerbirligi 0 - 2 Besiktas
15/03/2026,Kasımpasa SK 1 - 0 Eyüpspor
14/03/2026,Trabzonspor 1 - 0 Rizespor
14/03/2026,Göztepe Izmir 2 - 2 Alanyaspor
14/03/2026,Galatasaray 3 - 0 Basaksehir
14/03/2026,Kocaelispor 1 - 2 Konyaspor
13/03/2026,Antalyaspor 1 - 4 Gaziantep
13/03/2026,Fatih Karagümrük 2 - 0 Fenerbahçe
09/03/2026,Alanyaspor 0 - 0 Genclerbirligi
09/03/2026,Kayserispor 1 - 3 Trabzonspor
09/03/2026,Eyüpspor 0 - 1 Kocaelispor
08/03/2026,Fenerbahçe 3 - 2 Samsunspor
08/03/2026,Konyaspor 1 - 1 Kasımpasa SK
08/03/2026,Rizespor 1 - 0 Antalyaspor
08/03/2026,Gaziantep 1 - 1 Fatih Karagümrük
07/03/2026,Besiktas 0 - 1 Galatasaray
07/03/2026,Basaksehir 2 - 1 Göztepe Izmir
01/03/2026,Samsunspor 0 - 0 Gaziantep
01/03/2026,Antalyaspor 2 - 2 Fenerbahçe
01/03/2026,Genclerbirligi 0 - 0 Kayserispor
28/02/2026,Galatasaray 3 - 1 Alanyaspor
28/02/2026,Göztepe Izmir 0 - 0 Eyüpspor
28/02/2026,Kocaelispor 0 - 1 Besiktas
28/02/2026,Kasımpasa SK 0 - 3 Rizespor
27/02/2026,Basaksehir 2 - 0 Konyaspor
27/02/2026,Trabzonspor 3 - 1 Fatih Karagümrük
23/02/2026,Fenerbahçe 1 - 1 Kasımpasa SK
22/02/2026,Fatih Karagümrük 0 - 0 Samsunspor
22/02/2026,Besiktas 4 - 0 Göztepe Izmir
22/02/2026,Gaziantep 1 - 2 Trabzonspor
