Position,Team,TeamId,Played,Wins,Draws,Losses,GoalsFor,GoalsAgainst,GoalDifference,Points,LogoUrl
1,Galatasaray,8637,26,20,4,2,62,18,44,64,https://images.fotmob.com/image_resources/logo/teamlogo/8637.png
2,Fenerbahçe,8695,27,17,9,1,61,28,33,60,https://images.fotmob.com/image_resources/logo/teamlogo/8695.png
3,Trabzonspor,9752,27,18,6,3,53,29,24,60,https://images.fotmob.com/image_resources/logo/teamlogo/9752.png
4,Beşiktaş,10188,27,15,7,5,49,31,18,52,https://images.fotmob.com/image_resources/logo/teamlogo/10188.png
5,Başakşehir,1933,27,12,7,8,44,30,14,43,https://images.fotmob.com/image_resources/logo/teamlogo/1933.png
6,Göztepe,1925,26,11,10,5,30,20,10,43,https://images.fotmob.com/image_resources/logo/teamlogo/1925.png
7,Samsunspor,9750,26,8,11,7,29,31,-2,35,https://images.fotmob.com/image_resources/logo/teamlogo/9750.png
8,Kocaelispor,1569,27,9,6,12,23,32,-9,33,https://images.fotmob.com/image_resources/logo/teamlogo/1569.png
9,Gaziantep FK,4081,27,8,9,10,36,46,-10,33,https://images.fotmob.com/image_resources/logo/teamlogo/4081.png
10,Alanyaspor,4678,27,6,13,8,33,32,1,31,https://images.fotmob.com/image_resources/logo/teamlogo/4678.png
11,Rizespor,2166,26,7,9,10,32,36,-4,30,https://images.fotmob.com/image_resources/logo/teamlogo/2166.png
12,Konyaspor,8622,27,7,9,11,31,39,-8,30,https://images.fotmob.com/image_resources/logo/teamlogo/8622.png
13,Antalyaspor,1931,27,6,7,14,25,43,-18,25,https://images.fotmob.com/image_resources/logo/teamlogo/1931.png
14,Gençlerbirliği,7800,27,6,7,14,28,37,-9,25,https://images.fotmob.com/image_resources/logo/teamlogo/7800.png
15,Kasımpaşa,4685,27,5,9,13,23,38,-15,24,https://images.fotmob.com/image_resources/logo/teamlogo/4685.png
16,Kayserispor,10182,27,4,11,12,21,48,-27,23,https://images.fotmob.com/image_resources/logo/teamlogo/10182.png
17,Eyüpspor,4681,27,5,7,15,19,38,-19,22,https://images.fotmob.com/image_resources/logo/teamlogo/4681.png
18,Fatih Karagümrük,2088,27,4,5,18,24,47,-23,17,https://images.fotmob.com/image_resources/logo/teamlogo/2088.png
